Name,County,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty Rate,State
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,7715.0,26.6,61533.0,21879.0,669.0,1934.0,25.06804925469864, Alaska
"Bethel Census Area, Alaska",Bethel Census Area,17957.0,26.9,53853.0,18654.0,1456.0,4705.0,26.201481316478255, Alaska
"North Slope Borough, Alaska",North Slope Borough,9757.0,34.6,77266.0,48777.0,565.0,976.0,10.003074715588808, Alaska
"Sitka City and Borough, Alaska",Sitka City and Borough,8810.0,38.9,70765.0,36617.0,247.0,800.0,9.080590238365494, Alaska
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,100031.0,31.0,76250.0,35328.0,4047.0,7340.0,7.337725305155402, Alaska
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,13745.0,39.5,67321.0,33771.0,521.0,1437.0,10.454710803928702, Alaska
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,101135.0,34.9,74887.0,30409.0,4646.0,9759.0,9.649478419933752, Alaska
"Yakutat City and Borough, Alaska",Yakutat City and Borough,682.0,39.4,64583.0,32393.0,26.0,42.0,6.158357771260997, Alaska
"Nome Census Area, Alaska",Nome Census Area,9869.0,27.9,53821.0,20952.0,724.0,2381.0,24.126051271658728, Alaska
"Dillingham Census Area, Alaska",Dillingham Census Area,4974.0,30.1,58708.0,24647.0,256.0,817.0,16.42541214314435, Alaska
"Haines Borough, Alaska",Haines Borough,2537.0,45.0,70640.0,35907.0,40.0,210.0,8.277493102089082, Alaska
"Juneau City and Borough, Alaska",Juneau City and Borough,32434.0,38.0,90749.0,41904.0,906.0,2339.0,7.211568107541469, Alaska
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,1301.0,32.3,45208.0,23434.0,88.0,213.0,16.372021521906227, Alaska
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,6889.0,36.6,63866.0,31051.0,420.0,942.0,13.673973000435478, Alaska
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,5453.0,34.7,37819.0,21057.0,510.0,1373.0,25.178800660187054, Alaska
"Anchorage Municipality, Alaska",Anchorage Municipality,298225.0,33.1,82271.0,38977.0,9394.0,23510.0,7.883309581691676, Alaska
"Aleutians East Borough, Alaska",Aleutians East Borough,3338.0,42.7,66607.0,31254.0,59.0,555.0,16.626722588376275, Alaska
